City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Keroka,KE,-0.7758,34.9453,1616282303,59,92,54.48,2.59
Kanpur,IN,26.4667,80.35,1616282304,0,82,66.2,3.04
Denpasar,ID,-8.65,115.2167,1616282306,75,78,82.4,12.66
Kokkola,FI,63.8385,23.1307,1616282307,0,65,37.4,13.8
Malanje,AO,-9.5402,16.341,1616282308,99,95,65.3,3.2
Acapulco de Juárez,MX,16.8634,-99.8901,1616282266,1,65,84.2,9.22
Faya,SA,18.3851,42.4509,1616282151,0,25,62.6,5.48
Mahajanga,MG,-15.7167,46.3167,1616282312,20,88,75.2,2.3
Takaka,NZ,-40.85,172.8,1616282313,48,74,63.0,4.0
Bījār,IR,35.8668,47.6051,1616282315,98,43,38.73,8.43
Camaquã,BR,-30.8511,-51.8122,1616282316,24,85,74.68,7.54
Lavrentiya,RU,65.5833,-171.0,1616282146,100,80,1.72,13.94
Kasongo,CD,-4.45,26.6667,1616282319,100,88,70.02,1.81
Nantucket,US,41.2835,-70.0995,1616282120,1,75,41.0,10.36
Comodoro Rivadavia,AR,-45.8667,-67.5,1616282105,0,55,60.8,12.66
Bud,US,39.447,-86.1758,1616282301,0,36,57.0,4.72
Broome,US,42.2506,-75.833,1616282324,1,34,46.4,6.91
Port-Gentil,GA,-0.7193,8.7815,1616282194,90,94,78.8,3.44
Ulaangom,MN,49.9811,92.0667,1616282202,93,90,2.25,2.37
Mayumba,GA,-3.432,10.6554,1616282236,100,84,77.54,4.21
Tessalit,ML,20.1986,1.0114,1616282329,0,14,75.11,7.83
Kiryat Gat,IL,31.61,34.7642,1616282141,0,70,62.01,2.39
Cachoeira do Sul,BR,-30.0392,-52.8939,1616282331,62,79,77.29,6.53
Tual,ID,-5.6667,132.75,1616282333,96,66,83.7,0.76
Rawson,AR,-43.3002,-65.1023,1616282334,0,66,59.67,13.73
Juradó,CO,7.1053,-77.7641,1616282167,99,86,79.57,2.15
Ulladulla,AU,-35.35,150.4667,1616282337,75,100,64.4,9.22
Atasū,KZ,48.6814,71.6433,1616282338,99,93,30.24,12.73
Tongren,CN,27.7172,109.1853,1616282339,100,91,46.36,4.12
Churapcha,RU,62.0025,132.4325,1616282341,97,88,15.06,11.34
Waipawa,NZ,-41.4122,175.5153,1616282342,90,72,61.0,11.5
Arrondissement de Roanne,FR,46.0,4.0,1616282343,0,80,32.0,4.61
Iskateley,RU,67.6803,53.1512,1616282345,87,93,1.47,8.75
Campbell,US,38.9501,-84.3833,1616282346,1,23,59.0,9.22
Ensley,US,30.5188,-87.2728,1616282348,90,59,61.0,5.75
Derzhavīnsk,KZ,51.1,66.3167,1616282349,91,93,27.95,21.7
Altamira,BR,-3.2033,-52.2064,1616282351,31,87,74.75,1.81
Sirte,LY,31.2089,16.5887,1616282352,0,44,69.24,16.64
Honningsvåg,NO,70.9821,25.9704,1616282184,99,78,32.79,20.94
Akşehir,TR,38.3575,31.4164,1616282355,11,88,43.5,4.65
Belle Fourche,US,44.6714,-103.8522,1616282334,40,38,62.01,6.91
Kashan,IR,33.9831,51.4364,1616282286,100,20,57.94,1.1
Potiskum,NG,11.7091,11.0694,1616282359,80,39,82.83,9.44
Katsuura,JP,35.1333,140.3,1616282232,75,94,64.4,11.5
Kavaratti,IN,10.5669,72.642,1616282361,5,65,82.42,6.67
Saldanha,ZA,-33.0117,17.9442,1616282363,0,72,62.6,12.66
Philadelphia,US,39.9523,-75.1638,1616282196,20,22,57.2,4.61
Acajutla,SV,13.5928,-89.8275,1616282248,0,37,86.0,4.61
Puerto El Triunfo,SV,13.2833,-88.55,1616282366,20,66,89.6,6.91
Kaduna,NG,10.5222,7.4383,1616282368,97,60,77.81,7.07
Pecos,US,31.4229,-103.4932,1616282202,1,14,78.8,16.11
Calabozo,VE,8.9242,-67.4293,1616282370,100,30,88.65,5.93
Puerto Escondido,MX,15.85,-97.0667,1616282372,40,70,84.2,5.75
Cabadiangan,PH,9.7531,122.4739,1616282373,38,82,80.24,4.38
Coihueco,CL,-36.6167,-71.8333,1616282240,0,40,69.8,5.75
Coyhaique,CL,-45.5752,-72.0662,1616282287,75,58,57.2,8.05
Shabo,UA,46.1326,30.386,1616282377,0,80,32.0,2.24
Hīt,IQ,33.6416,42.8251,1616282378,4,40,62.37,8.57
Klyuchi,RU,52.2667,79.1667,1616282379,100,86,33.01,15.14
Ambilobe,MG,-13.2,49.05,1616282381,72,94,73.9,3.15
Birao,CF,10.2849,22.7882,1616282382,35,13,81.63,6.46
Nova Era,BR,-19.75,-43.0375,1616282384,0,97,66.07,2.51
Mt. Pleasant,US,32.7941,-79.8626,1616282385,90,62,57.2,11.5
Hambantota,LK,6.1241,81.1185,1616282387,63,83,77.11,5.23
Oktyabr'skiy,RU,54.4815,53.471,1616282388,99,93,16.25,5.79
Nikolayevsk-on-Amur,RU,53.1406,140.73,1616282389,87,86,22.1,2.86
Padang,ID,-0.9492,100.3543,1616282391,40,100,73.4,2.3
Varėna,LT,54.2167,24.5667,1616282392,90,68,27.0,14.97
Djibouti,DJ,11.5,42.5,1616282394,1,69,75.2,10.16
Ukiah,US,39.1502,-123.2078,1616282214,1,41,59.0,14.97
Mange,SL,8.9167,-12.85,1616282396,82,74,80.6,9.22
Camaná,PE,-16.6228,-72.7111,1616282398,22,80,71.11,9.13
Damietta,EG,31.4165,31.8133,1616282241,0,72,62.6,13.8
Ngunguru,NZ,-35.6167,174.5,1616282400,44,57,69.01,7.0
Carupano,VE,10.6678,-63.2585,1616282401,90,87,75.36,11.39
Linjiang,CN,41.8069,126.9078,1616282403,100,85,33.49,7.23
Sovetskaya Gavan',RU,48.9723,140.2878,1616282404,100,80,30.51,13.11
Katubao,PH,5.8892,124.8294,1616282406,26,74,82.4,3.96
São João da Barra,BR,-21.6403,-41.0511,1616282160,0,86,76.57,9.8
Saint-François,FR,46.4154,3.9054,1616282408,0,80,32.0,4.61
Fatezh,RU,52.0891,35.8632,1616282410,96,95,22.23,5.59
Junín,AR,-34.5838,-60.9433,1616282411,39,40,64.0,5.91
Río Gallegos,AR,-51.6226,-69.2181,1616282413,0,40,53.6,25.32
Qom,IR,34.6401,50.8764,1616282366,100,21,56.66,3.31
Marquette,US,46.5333,-87.6335,1616282415,1,19,55.4,17.27
Havelock,US,34.8791,-76.9013,1616282164,99,76,48.99,11.01
Hofn,IS,64.2539,-15.2082,1616282418,100,63,40.71,7.96
Korla,CN,41.7597,86.1469,1616282419,0,53,37.98,5.97
Kosa,RU,59.9445,54.9977,1616282340,89,96,11.73,6.15
Akdepe,TM,42.0551,59.3788,1616282422,0,87,42.8,6.91
Marsá Maţrūḩ,EG,31.3525,27.2453,1616282423,0,94,60.8,6.91
Xianyang,CN,34.3378,108.7026,1616282425,0,49,46.99,4.47
Daru,PG,-9.0763,143.2092,1616282426,99,82,83.14,6.85
Ahipara,NZ,-35.1667,173.1667,1616282428,1,50,67.68,7.23
Madison,US,34.7334,-86.5667,1616282309,1,36,63.0,6.91
Mumbai,IN,19.0144,72.8479,1616282296,0,83,78.8,4.88
Tezu,IN,27.9167,96.1667,1616282432,92,39,74.84,4.79
Pangnirtung,CA,66.1451,-65.7125,1616282433,9,92,-16.4,1.39
Narasannapeta,IN,18.4167,84.05,1616282434,15,65,75.2,4.34
Ulety,RU,51.3572,112.4849,1616282436,100,75,19.47,9.44
Phang Nga,TH,8.4509,98.5298,1616282437,20,88,77.0,1.14
Dunedin,NZ,-45.8742,170.5036,1616282439,57,74,57.99,8.99
Pahrump,US,36.2083,-115.9839,1616282440,0,9,69.01,8.99
Kasongo-Lunda,CD,-6.4667,16.8167,1616282441,100,98,71.06,1.61
Sobolevo,RU,54.4299,31.8996,1616282443,72,89,21.38,8.55
Scalea,IT,39.813,15.7956,1616282444,100,99,45.0,1.01
Araouane,ML,18.9048,-3.5265,1616282445,1,14,78.21,12.5
Guamúchil,MX,25.4667,-108.1,1616282447,0,35,89.01,5.99
Gombe,NG,10.2897,11.1673,1616282448,95,44,85.6,13.4
São Tomé,ST,0.3365,6.7273,1616282450,99,78,81.41,5.97
Gamba,GA,-2.65,10.0,1616282451,68,86,77.41,1.68
Sechura,PE,-5.5569,-80.8222,1616282345,4,56,82.65,16.64
Lovington,US,32.944,-103.3485,1616282454,1,13,73.4,19.57
Calama,CL,-22.4667,-68.9333,1616282455,0,27,66.2,18.41
Marsh Harbour,BS,26.5412,-77.0636,1616282456,19,78,73.81,11.92
Quatre Cocos,MU,-20.2078,57.7625,1616282458,40,89,79.0,11.5
Pinega,RU,64.7001,43.3936,1616282459,95,93,14.5,8.63
Great Yarmouth,GB,52.6083,1.7305,1616282460,75,87,46.99,10.36
Macao,MO,22.2006,113.5461,1616282462,40,78,75.2,10.36
Tevaitoa,PF,-16.7833,-151.5,1616282463,0,67,83.19,9.13
Bedēsa,ET,8.9,40.7833,1616282465,18,35,64.47,2.82
Cortez,US,37.3489,-108.5859,1616282466,1,15,64.4,21.85
Okha,RU,53.5739,142.9478,1616282467,55,80,20.68,12.28
Bakel,SN,14.905,-12.4568,1616282469,12,14,85.51,8.7
Talara,PE,-4.5772,-81.2719,1616282470,0,69,80.6,9.22
Ocampo,MX,21.65,-101.5,1616282472,86,20,81.0,6.58
Saint-Joseph,RE,-21.3667,55.6167,1616282473,0,78,78.8,19.57
Sanmenxia,CN,34.7747,111.1814,1616282474,100,31,39.16,5.26
Shambu,ET,9.5667,37.1,1616282476,0,31,56.75,5.66
Bubaque,GW,11.2833,-15.8333,1616282319,69,68,78.26,19.46
Mocuba,MZ,-16.8392,36.9856,1616282478,90,97,72.43,1.63
La Reforma,MX,18.1,-91.0167,1616282480,41,61,75.15,13.15
Kot Addu,PK,30.4692,70.9671,1616282462,75,69,75.2,10.36
Frederico Westphalen,BR,-27.3592,-53.3944,1616282482,24,71,78.01,4.0
Rustenburg,ZA,-25.6676,27.2421,1616282484,44,67,65.43,7.54
Goderich,CA,43.7501,-81.7165,1616282485,0,27,48.2,4.61
Maceió,BR,-9.6658,-35.7353,1616282206,75,83,77.0,5.75
Viedma,AR,-40.8135,-62.9967,1616282488,1,52,63.39,8.9
Kochi,IN,9.9399,76.2602,1616282489,20,94,75.2,6.11
Inta,RU,66.0317,60.1659,1616282490,92,96,9.79,3.8
Cabra,ES,37.4725,-4.4421,1616282492,0,51,46.99,3.67
Kilindoni,TZ,-7.9139,39.6668,1616282493,0,70,83.23,4.41
Bodden Town,KY,19.2833,-81.25,1616282494,20,74,82.4,8.05
Ruteng,ID,-8.6136,120.4721,1616282496,99,88,66.06,2.13
Ostrovnoy,RU,68.0531,39.5131,1616282497,68,93,16.45,11.86
Ust'-Ishim,RU,57.6935,71.1665,1616282499,99,95,28.18,10.02
San Martín,AR,-33.081,-68.4681,1616282500,20,63,66.2,2.3
Nueva Helvecia,UY,-34.3,-57.2333,1616282502,100,95,64.0,4.0
Dolores,AR,-36.3132,-57.6792,1616282503,100,95,61.14,5.32
Port Moresby,PG,-9.4431,147.1797,1616282504,20,74,86.0,5.75
Nhulunbuy,AU,-12.2333,136.7667,1616282506,40,79,84.2,9.22
Hasaki,JP,35.7333,140.8333,1616282507,75,94,62.6,16.11
Codajás,BR,-3.8367,-62.0569,1616282508,99,98,73.31,3.94
Xinzhi,CN,36.4989,111.7047,1616282510,0,28,34.21,12.1
Mikhaylov,RU,54.2292,39.0186,1616282511,33,91,17.04,8.72
Shouguang,CN,36.88,118.7375,1616282513,61,29,37.51,12.24
La Romana,DO,18.4273,-68.9728,1616282514,20,69,78.8,6.91
Kerema,PG,-7.9631,145.7785,1616282515,73,69,84.04,0.54
Khor,RU,47.8861,134.9464,1616282517,100,92,29.86,9.8
Qobustan,AZ,40.0824,49.412,1616282518,75,93,42.8,4.61
Isla Vista,US,34.4133,-119.861,1616282519,1,20,71.6,16.11
Matagami,CA,49.7502,-77.6328,1616282521,1,25,51.8,9.22
Gritsovskiy,RU,54.1376,38.1604,1616282522,54,94,17.29,8.7
Dāmghān,IR,36.1683,54.348,1616282523,10,56,47.14,2.71
Chardara,KZ,41.2547,67.9692,1616282290,100,87,46.35,1.25
Changping,CN,40.2186,116.2197,1616282526,0,24,39.2,24.61
Coleraine,GB,55.1333,-6.6667,1616282528,90,93,48.2,6.91
Dicabisagan,PH,17.0818,122.4157,1616282529,98,87,77.54,2.91
Kosh-Agach,RU,50.0,88.6667,1616282530,96,43,7.59,2.59
Burnie,AU,-41.0667,145.9167,1616282532,100,62,63.0,15.01
Torres,BR,-29.3353,-49.7269,1616282533,10,91,75.4,9.42
Rio Formoso,BR,-8.6636,-35.1586,1616282535,40,69,78.8,12.66
Lodja,CD,-3.4833,23.4333,1616282536,76,96,69.24,1.19
